company_name,category,expertise
Horizon Head & Company,戦略／ベンチャー,ベンチャー・新規事業系ブティック（要確認）
アクティヴァーチ・コンサルティング,中小企業／業務,中小企業の業務改善・人事労務など
株式会社コスモ経営,中小企業,中小企業の経営改善・財務支援
経営コンサルティングアソシエーション,中小企業,中小企業診断士ネットワーク型コンサル
株式会社フラッグシップ経営,中小企業,中小企業向けの経営改善・戦略
株式会社カサマ,中小企業,地方／中小企業の経営支援（要確認）
かなえ経営株式会社,中小企業,中小企業向け経営支援
株式会社KANSOH,中小企業,中小企業・個人事業主向けコンサル
Kitamura & Company,戦略／ブティック,少数精鋭の戦略・経営コンサル
中小企業コンサルティング株式会社,中小企業,その名の通り中小企業向けコンサル
株式会社ソリューション,中小企業,中小企業向け経営・IT支援（名称が汎用的なため要確認）
アールコンサルティング株式会社,中小企業／IT,中小企業の業務・IT支援
トリプルグッド株式会社,会計／経営,会計事務所発の経営支援・人事労務
株式会社北浜グローバル経営,中堅・海外展開,海外進出・国際税務など(StrategyTec Consulting)
株式会社アクリア,会計／経営,会計・税務＋経営コンサル
YRSKコンサルティング,マッチング／IT,コンサル・エンジニア紹介、ITコンサル・開発(yrsk.jp)
Booost株式会社,※再掲,サステナビリティERP
